,dan,rate,point0,point1,point2,point3,rank
0,0.0,1500.0,9.0,62.1,-52.3,-18.8,1.0
1,0.0,1510.98,50.3,10.1,-50.4,-10.0,0.0
2,1.0,1543.51,-17.8,8.0,54.5,-44.7,2.0
3,1.0,1535.85,7.0,-14.0,62.5,-55.5,1.0
4,1.0,1548.52,9.0,-53.0,-15.7,59.7,1.0
5,2.0,1560.85,-19.0,12.0,62.4,-55.4,2.0
6,2.0,1551.26,54.2,-20.6,17.8,-51.4,0.0
7,3.0,1579.95,43.7,-32.9,8.4,-19.2,0.0
8,4.0,1607.59,-34.1,48.1,-22.0,8.0,3.0
9,4.0,1579.97,59.5,7.2,-26.3,-40.4,0.0
10,4.0,1609.83,7.5,-23.3,76.2,-60.4,1.0
11,5.0,1619.49,-7.6,12.8,-50.6,45.4,2.0
12,5.0,1606.82,45.5,-21.8,-36.5,12.8,0.0
13,5.0,1633.85,7.0,-43.3,-14.0,50.3,1.0
14,5.0,1644.68,16.1,-26.3,-41.6,51.8,1.0
15,6.0,1650.88,-39.0,6.7,-15.9,48.2,3.0
16,6.0,1619.9,47.0,-17.6,16.4,-45.8,0.0
17,6.0,1647.12,45.8,3.8,-19.6,-30.0,0.0
18,6.0,1672.75,48.3,16.0,-51.2,-13.1,0.0
19,7.0,1697.46,52.3,-40.4,-19.7,7.8,0.0
20,7.0,1723.29,78.7,-34.3,-52.1,7.7,0.0
21,7.0,1749.7,-10.2,-48.8,47.4,11.6,2.0
22,7.0,1736.88,49.2,6.5,-34.5,-21.2,0.0
23,7.0,1763.93,-52.2,61.1,12.1,-21.0,3.0
24,7.0,1735.35,13.6,-42.0,48.5,-20.1,1.0
25,8.0,1741.01,-16.9,7.2,-30.5,40.2,2.0
26,8.0,1731.51,15.8,53.7,-49.2,-20.3,1.0
27,8.0,1738.73,-50.4,-26.9,0.6,76.7,3.0
28,8.0,1706.52,51.0,-50.5,15.9,-16.4,0.0
29,8.0,1731.55,17.0,67.2,-53.5,-30.7,1.0
30,8.0,1736.49,60.5,-19.7,10.3,-51.1,0.0
31,8.0,1761.11,43.5,11.8,-12.9,-42.4,0.0
32,9.0,1784.41,3.5,-35.7,56.8,-24.6,1.0
33,9.0,1793.31,-5.8,-25.8,-52.1,83.7,1.0
34,9.0,1800.24,12.4,-15.8,57.5,-54.1,1.0
35,9.0,1805.84,7.5,-20.5,57.2,-44.2,1.0
36,9.0,1812.84,-53.5,-12.8,49.7,16.6,3.0
37,9.0,1782.87,-10.5,15.2,46.0,-50.7,2.0
38,9.0,1771.66,42.8,-16.7,8.3,-34.4,0.0
39,9.0,1797.88,-17.6,-34.6,2.7,49.5,2.0
40,9.0,1784.53,-53.0,13.4,49.6,-10.0,3.0
41,9.0,1756.81,40.2,-18.0,-29.0,6.8,0.0
42,10.0,1783.39,68.7,7.8,-25.9,-50.6,0.0
43,10.0,1809.88,61.3,-20.3,-43.3,2.3,0.0
44,10.0,1835.17,8.4,-42.3,-15.2,49.1,1.0
45,10.0,1842.37,11.7,-20.4,56.2,-47.5,1.0
46,10.0,1848.44,-22.5,-1.1,58.7,-35.1,2.0
47,10.0,1836.45,44.0,-37.9,-13.6,7.5,0.0
48,11.0,1860.97,14.5,-49.2,46.6,-11.9,1.0
49,11.0,1868.45,18.8,59.9,-28.3,-50.4,1.0
50,11.0,1873.8,-15.3,41.7,10.4,-36.8,2.0
51,11.0,1862.89,47.6,-14.0,17.0,-50.6,0.0
52,11.0,1885.92,-14.5,8.4,-58.1,64.2,2.0
53,11.0,1873.21,17.9,50.9,-52.0,-16.8,1.0
54,11.0,1878.18,7.8,-38.9,-14.5,45.6,1.0
55,11.0,1884.79,6.4,-41.2,52.4,-17.6,1.0
56,11.0,1890.93,8.7,44.2,-21.4,-31.5,1.0
57,11.0,1897.3,-48.1,-0.5,-24.2,72.8,3.0
58,11.0,1864.89,19.3,-53.4,51.0,-16.9,1.0
59,11.0,1869.51,50.8,2.3,-20.2,-32.9,0.0
60,11.0,1892.89,-56.4,53.8,-18.9,21.5,3.0
61,11.0,1865.5,50.7,9.8,-43.8,-16.7,0.0
62,11.0,1888.45,-25.5,12.2,64.3,-51.0,2.0
63,11.0,1874.95,40.6,-15.1,-34.6,9.1,0.0
64,11.0,1899.91,3.4,-34.0,48.6,-18.0,1.0
65,11.0,1903.1,52.2,-50.0,11.8,-14.0,0.0
66,11.0,1924.91,-51.3,16.6,49.7,-15.0,3.0
67,11.0,1895.86,-20.0,12.5,-36.4,43.9,2.0
68,11.0,1885.45,7.5,-16.8,45.8,-36.5,1.0
69,11.0,1889.02,61.7,-41.8,-30.3,10.4,0.0
70,11.0,1911.93,10.3,-16.2,56.1,-50.2,1.0
71,11.0,1916.83,44.8,-45.2,14.1,-13.7,0.0
72,11.0,1938.65,-5.4,15.4,-57.0,47.0,2.0
73,11.0,1925.86,46.0,-16.7,4.2,-33.5,0.0
74,12.0,1947.61,5.2,-32.9,46.3,-18.6,1.0
75,12.0,1952.23,57.6,20.5,-23.2,-54.9,0.0
76,12.0,1974.93,12.7,48.6,-52.9,-8.4,1.0
77,12.0,1975.29,18.8,-28.5,56.8,-47.1,1.0
78,12.0,1977.03,-15.1,40.7,6.7,-32.3,2.0
79,12.0,1965.72,22.8,55.9,-27.8,-50.9,1.0
80,12.0,1971.77,16.4,-44.5,47.6,-19.5,1.0
81,12.0,1974.4,-54.7,12.3,60.3,-17.9,3.0
82,12.0,1946.26,-20.4,51.3,12.4,-43.3,2.0
83,12.0,1934.15,16.0,-29.1,63.4,-50.3,1.0
84,12.0,1938.12,50.7,19.2,-51.6,-18.3,0.0
85,12.0,1959.23,50.2,-28.0,-38.1,15.9,0.0
86,12.0,1980.44,5.6,-17.5,40.2,-28.3,1.0
87,12.0,1983.29,-12.0,45.4,8.7,-42.1,2.0
88,12.0,1969.87,45.7,-18.3,11.3,-38.7,0.0
89,12.0,1989.81,60.1,10.1,-20.1,-50.1,0.0
90,12.0,2010.48,52.5,-24.9,7.7,-35.3,0.0
91,12.0,2029.77,-23.4,61.3,-0.4,-37.5,2.0
92,12.0,2017.38,76.5,-24.5,-1.0,-51.0,0.0
93,12.0,2035.59,9.7,50.9,-37.1,-23.5,1.0
94,12.0,2040.76,1.4,69.3,-22.7,-48.0,1.0
95,12.0,2042.62,7.8,54.1,-47.6,-14.3,1.0
96,12.0,2044.57,-21.1,-49.0,11.5,58.6,2.0
97,12.0,2030.78,49.9,-40.1,11.5,-21.3,0.0
98,12.0,2050.49,-52.3,-33.1,22.2,63.2,3.0
99,12.0,2021.7,-42.6,60.7,4.4,-22.5,3.0
100,12.0,1991.69,-13.8,-42.1,47.7,8.2,2.0
